parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
64,19326.6,1,5,16,solrj,rf32_s1_
128,34943.5,1,6,16,solrj,rf32_s1_
192,41862.0,2,8,16,solrj,rf32_s1_
256,46067.8,2,12,16,solrj,rf32_s1_
320,46959.9,2,17,16,solrj,rf32_s1_
384,44710.7,2,27,16,solrj,rf32_s1_
64,6110.0,5,21,16,solrj,rf32_s2_
128,9616.0,5,98,16,solrj,rf32_s2_
192,11672.2,5,121,16,solrj,rf32_s2_
256,12163.5,6,138,16,solrj,rf32_s2_
320,13852.8,6,143,16,solrj,rf32_s2_
384,14798.9,6,146,16,solrj,rf32_s2_
64,20592.5,1,5,16,solrj,rf8_s1__
128,36680.5,1,6,16,solrj,rf8_s1__
192,41467.4,2,9,16,solrj,rf8_s1__
256,42282.0,2,14,16,solrj,rf8_s1__
320,42906.3,2,22,16,solrj,rf8_s1__
384,44105.9,2,32,16,solrj,rf8_s1__
64,8355.6,4,12,16,solrj,rf8_s2__
128,13430.0,3,67,16,solrj,rf8_s2__
192,15916.0,4,83,16,solrj,rf8_s2__
256,18468.6,5,88,16,solrj,rf8_s2__
320,17639.1,5,105,16,solrj,rf8_s2__
384,19177.8,5,110,16,solrj,rf8_s2__
