parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,3499.7,81,237,8,direct,rf2_s16_
512,3985.2,122,296,8,direct,rf2_s16_
32,2524.2,5,25,8,direct,rf2_s16_
672,3911.9,164,384,8,direct,rf2_s16_
832,4292.7,194,405,8,direct,rf2_s16_
192,2965.1,40,185,8,direct,rf2_s16_
352,2899.3,106,266,8,direct,rf4_s16_
512,3158.9,171,380,8,direct,rf4_s16_
32,1938.4,8,99,8,direct,rf4_s16_
672,3482.2,192,430,8,direct,rf4_s16_
832,3732.8,233,481,8,direct,rf4_s16_
192,3054.0,43,181,8,direct,rf4_s16_
352,11314.5,14,191,8,direct,rf4_s2__
512,11885.0,19,217,8,direct,rf4_s2__
32,4221.4,4,9,8,direct,rf4_s2__
672,13032.9,21,246,8,direct,rf4_s2__
832,14077.8,23,267,8,direct,rf4_s2__
192,9989.6,8,120,8,direct,rf4_s2__
352,61595.1,3,12,8,direct,rf8_s1__
512,61666.4,5,21,8,direct,rf8_s1__
32,12383.5,1,4,8,direct,rf8_s1__
672,62173.6,6,30,8,direct,rf8_s1__
832,62386.0,7,40,8,direct,rf8_s1__
192,57085.6,1,5,8,direct,rf8_s1__
