parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1280,53735.1,8,120,32,direct,rf16_s2_
1536,56344.7,10,129,32,direct,rf16_s2_
256,22469.7,5,65,32,direct,rf16_s2_
512,36329.2,4,93,32,direct,rf16_s2_
768,45467.1,5,97,32,direct,rf16_s2_
1024,49861.3,6,111,32,direct,rf16_s2_
1280,24388.2,14,234,32,direct,rf16_s4_
1536,27155.3,21,232,32,direct,rf16_s4_
256,12033.7,5,116,32,direct,rf16_s4_
512,16405.0,7,170,32,direct,rf16_s4_
768,18950.6,9,205,32,direct,rf16_s4_
1024,21890.3,12,221,32,direct,rf16_s4_
1280,151326.6,6,21,32,direct,rf32_s1_
1536,147583.1,8,26,32,direct,rf32_s1_
256,101554.8,1,4,32,direct,rf32_s1_
512,152927.6,1,6,32,direct,rf32_s1_
768,155965.2,3,10,32,direct,rf32_s1_
1024,154012.1,4,15,32,direct,rf32_s1_
1280,45447.7,9,137,32,direct,rf32_s2_
1536,47975.0,12,146,32,direct,rf32_s2_
256,22018.5,5,72,32,direct,rf32_s2_
512,29419.1,5,112,32,direct,rf32_s2_
768,35610.1,6,124,32,direct,rf32_s2_
1024,41829.2,8,127,32,direct,rf32_s2_
1280,150687.6,6,21,32,direct,rf64_s1_
1536,147735.7,8,26,32,direct,rf64_s1_
256,106456.0,1,4,32,direct,rf64_s1_
512,152447.1,2,6,32,direct,rf64_s1_
768,155722.8,3,10,32,direct,rf64_s1_
1024,153904.9,4,15,32,direct,rf64_s1_
1280,33512.2,13,165,32,direct,rf8_s4__
1536,36776.0,16,171,32,direct,rf8_s4__
256,13911.0,4,126,32,direct,rf8_s4__
512,21076.7,5,143,32,direct,rf8_s4__
768,27045.5,7,146,32,direct,rf8_s4__
1024,31375.3,9,153,32,direct,rf8_s4__
