parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
64,1289.6,30,154,4,direct,rf2_s16_,16
64,5012.27,6,29,4,direct,rf2_s2__,16
64,2294.27,16,91,4,direct,rf2_s4__,16
64,2371.67,16,140,4,direct,rf3_s8__,16
64,1557.0,24,188,4,direct,rf4_s16_,16
64,5287.0,6,20,4,direct,rf4_s2__,16
64,3366.73,10,65,4,direct,rf4_s4__,16
64,2125.07,16,160,4,direct,rf4_s8__,16
64,3168.93,10,88,4,direct,rf6_s4__,16
384,1681.47,199,475,4,direct,rf2_s16_,96
384,7398.27,33,156,4,direct,rf2_s2__,96
384,2986.73,102,360,4,direct,rf2_s4__,96
384,2502.87,116,348,4,direct,rf3_s8__,96
384,1686.0,184,511,4,direct,rf4_s16_,96
384,6889.8,33,189,4,direct,rf4_s2__,96
384,4122.73,64,271,4,direct,rf4_s4__,96
384,2557.73,105,407,4,direct,rf4_s8__,96
384,3310.93,74,324,4,direct,rf6_s4__,96
704,1891.33,326,940,4,direct,rf2_s16_,176
704,8325.73,64,218,4,direct,rf2_s2__,176
704,3269.8,259,967,4,direct,rf2_s4__,176
704,2934.93,216,492,4,direct,rf3_s8__,176
704,1855.73,347,818,4,direct,rf4_s16_,176
704,7920.67,57,259,4,direct,rf4_s2__,176
704,4732.07,123,353,4,direct,rf4_s4__,176
704,2718.8,210,605,4,direct,rf4_s8__,176
704,4115.2,132,426,4,direct,rf6_s4__,176
1024,2093.07,432,1210,4,direct,rf2_s16_,256
1024,8876.33,90,276,4,direct,rf2_s2__,256
1024,3324.53,415,851,4,direct,rf2_s4__,256
1024,3183.93,279,650,4,direct,rf3_s8__,256
1024,2045.73,446,1125,4,direct,rf4_s16_,256
1024,8307.4,92,312,4,direct,rf4_s2__,256
1024,5162.87,172,451,4,direct,rf4_s4__,256
1024,2748.73,324,964,4,direct,rf4_s8__,256
1024,4654.6,184,492,4,direct,rf6_s4__,256
1344,1899.6,647,1432,4,direct,rf2_s16_,336
1344,8504.07,128,337,4,direct,rf2_s2__,336
1344,3611.2,512,552,4,direct,rf2_s4__,336
1344,3391.67,335,1072,4,direct,rf3_s8__,336
1344,1906.87,649,1297,4,direct,rf4_s16_,336
1344,8571.93,123,354,4,direct,rf4_s2__,336
1344,5166.47,221,566,4,direct,rf4_s4__,336
1344,2699.93,427,1420,4,direct,rf4_s8__,336
1344,4558.2,247,628,4,direct,rf6_s4__,336
1664,1809.6,846,392,4,direct,rf2_s16_,416
1664,8426.67,157,417,4,direct,rf2_s2__,416
1664,3539.6,558,480,4,direct,rf2_s4__,416
1664,3325.07,425,1279,4,direct,rf3_s8__,416
1664,1652.87,878,374,4,direct,rf4_s16_,416
1664,8588.13,156,424,4,direct,rf4_s2__,416
1664,5079.73,268,675,4,direct,rf4_s4__,416
1664,2472.07,560,1628,4,direct,rf4_s8__,416
1664,4741.0,291,836,4,direct,rf6_s4__,416
1984,1554.93,1084,426,4,direct,rf2_s16_,496
1984,8841.67,177,455,4,direct,rf2_s2__,496
1984,3214.13,379,783,4,direct,rf2_s4__,496
1984,3257.07,532,1462,4,direct,rf3_s8__,496
1984,1698.93,1068,415,4,direct,rf4_s16_,496
1984,8162.27,190,522,4,direct,rf4_s2__,496
1984,5055.67,322,1055,4,direct,rf4_s4__,496
1984,2517.0,687,822,4,direct,rf4_s8__,496
1984,4764.0,345,1283,4,direct,rf6_s4__,496
2304,1579.07,1277,459,4,direct,rf2_s16_,576
2304,8049.6,219,592,4,direct,rf2_s2__,576
2304,3248.8,862,972,4,direct,rf2_s4__,576
2304,3118.93,662,856,4,direct,rf3_s8__,576
2304,1591.93,1299,505,4,direct,rf4_s16_,576
2304,7912.33,231,643,4,direct,rf4_s2__,576
2304,4854.07,391,1378,4,direct,rf4_s4__,576
2304,2414.47,843,411,4,direct,rf4_s8__,576
2304,4595.6,418,1333,4,direct,rf6_s4__,576
2624,1527.73,1490,619,4,direct,rf2_s16_,656
2624,7881.0,248,825,4,direct,rf2_s2__,656
2624,3173.93,1046,1213,4,direct,rf2_s4__,656
2624,2975.2,783,496,4,direct,rf3_s8__,656
2624,1518.27,1527,601,4,direct,rf4_s16_,656
2624,7386.33,281,976,4,direct,rf4_s2__,656
2624,4633.8,465,1598,4,direct,rf4_s4__,656
2624,2153.33,1064,442,4,direct,rf4_s8__,656
2624,4271.47,519,1274,4,direct,rf6_s4__,656
2944,1448.93,1719,766,4,direct,rf2_s16_,736
2944,7790.73,272,1229,4,direct,rf2_s2__,736
2944,2954.8,1337,1241,4,direct,rf2_s4__,736
2944,3051.93,868,460,4,direct,rf3_s8__,736
2944,1495.13,1736,706,4,direct,rf4_s16_,736
2944,7448.8,312,1175,4,direct,rf4_s2__,736
2944,4706.73,526,1357,4,direct,rf4_s4__,736
2944,2107.2,1140,432,4,direct,rf4_s8__,736
2944,4301.93,559,1145,4,direct,rf6_s4__,736
3264,1493.47,1883,868,4,direct,rf2_s16_,816
3264,7451.8,324,1419,4,direct,rf2_s2__,816
3264,3018.0,804,934,4,direct,rf2_s4__,816
3264,2931.4,979,460,4,direct,rf3_s8__,816
3264,1574.2,1765,797,4,direct,rf4_s16_,816
3264,7293.73,342,1403,4,direct,rf4_s2__,816
3264,4588.07,598,855,4,direct,rf4_s4__,816
3264,2140.2,1256,478,4,direct,rf4_s8__,816
3264,4420.67,632,807,4,direct,rf6_s4__,816
