parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards,
32,1083.47,19,44,2,direct,rf2_s16_,8
32,2284.8,8,17,2,direct,rf2_s4__,8
32,3062.07,6,14,2,direct,rf2_s8__,8
32,836.87,24,161,2,direct,rf4_s16_,8
32,2740.47,9,14,2,direct,rf4_s2__,8
32,715.27,31,151,2,direct,rf4_s32_,8
32,2326.4,8,21,2,direct,rf4_s4__,8
32,1967.67,10,22,2,direct,rf4_s8__,8
32,1972.67,9,26,2,direct,rf6_s16_,8
32,3940.33,6,10,2,direct,rf6_s2__,8
32,769.13,29,143,2,direct,rf6_s32_,8
32,2306.27,10,16,2,direct,rf6_s4__,8
192,1268.53,115,342,2,direct,rf2_s16_,48
192,2476.4,56,217,2,direct,rf2_s4__,48
192,3570.93,38,145,2,direct,rf2_s8__,48
192,882.33,161,479,2,direct,rf4_s16_,48
192,3032.13,52,154,2,direct,rf4_s2__,48
192,688.2,291,748,2,direct,rf4_s32_,48
192,2435.8,58,219,2,direct,rf4_s4__,48
192,2125.67,67,245,2,direct,rf4_s8__,48
192,1987.73,78,288,2,direct,rf6_s16_,48
192,4087.07,38,103,2,direct,rf6_s2__,48
192,797.8,250,590,2,direct,rf6_s32_,48
192,2021.87,80,205,2,direct,rf6_s4__,48
352,1165.0,273,660,2,direct,rf2_s16_,88
352,2605.13,107,295,2,direct,rf2_s4__,88
352,3782.0,72,211,2,direct,rf2_s8__,88
352,853.67,345,1156,2,direct,rf4_s16_,88
352,2800.47,62,428,2,direct,rf4_s2__,88
352,643.07,605,544,2,direct,rf4_s32_,88
352,2765.93,101,283,2,direct,rf4_s4__,88
352,2253.67,125,328,2,direct,rf4_s8__,88
352,2011.73,155,425,2,direct,rf6_s16_,88
352,3935.8,39,384,2,direct,rf6_s2__,88
352,768.53,475,1083,2,direct,rf6_s32_,88
352,2135.13,86,151,2,direct,rf6_s4__,88
512,1081.07,377,1347,2,direct,rf2_s16_,128
512,2701.0,154,395,2,direct,rf2_s4__,128
512,3187.8,122,373,2,direct,rf2_s8__,128
512,837.33,518,1400,2,direct,rf4_s16_,128
512,2825.8,98,752,2,direct,rf4_s2__,128
512,625.47,914,745,2,direct,rf4_s32_,128
512,3099.6,133,336,2,direct,rf4_s4__,128
512,2199.27,196,464,2,direct,rf4_s8__,128
512,1895.4,234,552,2,direct,rf6_s16_,128
512,3858.67,90,141,2,direct,rf6_s2__,128
512,802.07,620,854,2,direct,rf6_s32_,128
512,2021.13,166,272,2,direct,rf6_s4__,128
672,1021.2,511,1265,2,direct,rf2_s16_,168
672,2838.67,198,455,2,direct,rf2_s4__,168
672,2970.53,149,676,2,direct,rf2_s8__,168
672,860.07,672,849,2,direct,rf4_s16_,168
672,2671.6,155,1176,2,direct,rf4_s2__,168
672,658.8,1021,403,2,direct,rf4_s32_,168
672,2651.6,209,503,2,direct,rf4_s4__,168
672,2034.8,272,848,2,direct,rf4_s8__,168
672,2056.07,305,740,2,direct,rf6_s16_,168
672,3816.53,109,282,2,direct,rf6_s2__,168
672,802.4,860,835,2,direct,rf6_s32_,168
672,1980.33,224,432,2,direct,rf6_s4__,168
832,968.07,710,530,2,direct,rf2_s16_,208
832,2552.0,266,790,2,direct,rf2_s4__,208
832,2781.4,190,989,2,direct,rf2_s8__,208
832,832.87,882,476,2,direct,rf4_s16_,208
832,2604.4,206,674,2,direct,rf4_s2__,208
832,691.2,1270,360,2,direct,rf4_s32_,208
832,2673.67,260,654,2,direct,rf4_s4__,208
832,1931.87,348,1281,2,direct,rf4_s8__,208
832,2085.73,366,1168,2,direct,rf6_s16_,208
832,3608.27,171,267,2,direct,rf6_s2__,208
832,735.13,1124,399,2,direct,rf6_s32_,208
832,1901.73,323,924,2,direct,rf6_s4__,208
992,978.73,832,479,2,direct,rf2_s16_,248
992,2386.27,330,1478,2,direct,rf2_s4__,248
992,2685.93,236,1527,2,direct,rf2_s8__,248
992,814.2,1071,598,2,direct,rf4_s16_,248
992,2408.33,301,1050,2,direct,rf4_s2__,248
992,631.33,1739,418,2,direct,rf4_s32_,248
992,2436.0,337,1321,2,direct,rf4_s4__,248
992,1797.0,443,1641,2,direct,rf4_s8__,248
992,2000.27,450,1332,2,direct,rf6_s16_,248
992,3462.13,216,326,2,direct,rf6_s2__,248
992,734.07,1364,347,2,direct,rf6_s32_,248
992,2264.73,250,1703,2,direct,rf6_s4__,248
1152,1369.2,718,1174,2,direct,rf2_s16_,288
1152,2345.87,382,1660,2,direct,rf2_s4__,288
1152,2379.0,305,1829,2,direct,rf2_s8__,288
1152,681.8,1597,1517,2,direct,rf4_s16_,288
1152,2346.2,328,1654,2,direct,rf4_s2__,288
1152,658.33,1824,436,2,direct,rf4_s32_,288
1152,2506.53,374,1519,2,direct,rf4_s4__,288
1152,1859.53,494,1294,2,direct,rf4_s8__,288
1152,1950.73,524,1492,2,direct,rf6_s16_,288
1152,3415.4,287,1133,2,direct,rf6_s2__,288
1152,728.0,1624,408,2,direct,rf6_s32_,288
1152,2204.67,315,1638,2,direct,rf6_s4__,288
1312,1584.6,531,1437,2,direct,rf2_s16_,328
1312,2319.73,446,1589,2,direct,rf2_s4__,328
1312,2471.93,337,1962,2,direct,rf2_s8__,328
1312,1449.07,402,1498,2,direct,rf4_s16_,328
1312,2253.8,377,1733,2,direct,rf4_s2__,328
1312,655.6,1983,486,2,direct,rf4_s32_,328
1312,2316.2,455,1496,2,direct,rf4_s4__,328
1312,1783.4,570,963,2,direct,rf4_s8__,328
